Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,F2
Calibrated Logistic,10,0.72,3062,0.05388634879163945,0.04735467015022861,0.9888961463096015,0.9517241379310345,0.8363636363636363,0.8903225806451613,0.9981161284923799,0.9693729949278823,2890,7,27,138,0.8571428571428571
Calibrated Logistic,10,0.73,3062,0.05388634879163945,0.047028086218158065,0.988569562377531,0.9513888888888888,0.8303030303030303,0.8867313915857605,0.9981161284923799,0.9693729949278823,2890,7,28,137,0.8519900497512439
Calibrated Logistic,10,0.74,3062,0.05388634879163945,0.04670150228608753,0.9882429784454605,0.951048951048951,0.8242424242424242,0.8831168831168831,0.9981161284923799,0.9693729949278823,2890,7,29,136,0.846824408468244
Calibrated Logistic,10,0.75,3062,0.05388634879163945,0.046374918354016983,0.98791639451339,0.9507042253521126,0.8181818181818182,0.8794788273615635,0.9981161284923799,0.9693729949278823,2890,7,30,135,0.8416458852867831
Calibrated Logistic,10,0.76,3062,0.05388634879163945,0.046374918354016983,0.98791639451339,0.9507042253521126,0.8181818181818182,0.8794788273615635,0.9981161284923799,0.9693729949278823,2890,7,30,135,0.8416458852867831
Calibrated Logistic,10,0.77,3062,0.05388634879163945,0.04604833442194644,0.9875898105813194,0.950354609929078,0.8121212121212121,0.8758169934640523,0.9981161284923799,0.9693729949278823,2890,7,31,134,0.8364544319600499
Calibrated Logistic,10,0.78,3062,0.05388634879163945,0.04604833442194644,0.9875898105813194,0.950354609929078,0.8121212121212121,0.8758169934640523,0.9981161284923799,0.9693729949278823,2890,7,31,134,0.8364544319600499
Calibrated Logistic,10,0.79,3062,0.05388634879163945,0.045721750489875895,0.9872632266492488,0.95,0.806060606060606,0.8721311475409836,0.9981161284923799,0.9693729949278823,2890,7,32,133,0.83125
Calibrated Logistic,10,0.8,3062,0.05388634879163945,0.04441541476159373,0.9872632266492488,0.9632352941176471,0.793939393939394,0.8704318936877077,0.9981161284923799,0.9693729949278823,2892,5,34,131,0.8228643216080402
Calibrated Logistic,10,0.81,3062,0.05388634879163945,0.04408883082952319,0.9869366427171783,0.9629629629629629,0.7878787878787878,0.8666666666666667,0.9981161284923799,0.9693729949278823,2892,5,35,130,0.8176100628930818
Calibrated Logistic,10,0.82,3062,0.05388634879163945,0.043762246897452645,0.9872632266492488,0.9701492537313433,0.7878787878787878,0.8695652173913043,0.9981161284923799,0.9693729949278823,2893,4,35,130,0.818639798488665
Calibrated Logistic,10,0.83,3062,0.05388634879163945,0.0434356629653821,0.9869366427171783,0.9699248120300752,0.7818181818181819,0.8657718120805369,0.9981161284923799,0.9693729949278823,2893,4,36,129,0.8133669609079445
